N,avg,std
256,16275.793858638552,86.54105013537331
500,18461.234079541642,45.31354083506738
864,67712.1995146775,3.8149608228346694
1372,20647.006582303384,66.23084141827464
2048,21704.166017101223,37.44348324576801
