N,avg,std
256,130560.0,0.0
500,83166.66666666667,0.0
864,99417.6,0.0
1372,117563.25,0.0
2048,133087.49206349207,0.0
2916,139346.55737704918,0.0
4000,146082.19178082192,0.0
