N,avg,std
256,130560.0,0.0
500,249500.0,0.0
864,434952.0,62136.0
1372,582218.0,44786.0
2048,671835.8974358975,26873.435897435935
2916,739142.6086956522,0.0
4000,820307.6923076923,0.0
