N,avg,std
256,28963.053472505064,0.0
500,38651.740536675155,0.0
864,45654.57902939322,0.0
1372,51856.457609559926,0.0
2048,55446.24591857822,0.0
2916,58203.0073628536,0.0
4000,59302.356929838534,0.0
