N,avg,std
256,115651.7903173515,0.0
500,141623.0397696795,0.0
864,175604.21413185858,0.0
1372,198757.23105576186,0.0
2048,197882.83021439097,0.0
2916,230695.5576339526,0.0
4000,219369.7962157997,0.0
