N,avg,std
256,111561.9322866389,25419.195037822574
500,239019.30191501326,16468.828894909704
864,309605.8812442087,8530.438755791285
1372,340309.694754353,14284.58110126754
2048,400960.3795759644,4792.951981015969
2916,465145.5002237167,3827.741155593627
4000,447639.8540268714,3547.453156910022
