N,avg,std
256,130560.0,0.0
500,499000.0,0.0
864,745632.0,0.0
1372,1254008.0,0.0
2048,1397418.6666666667,0.0
2916,1545480.0,0.0
4000,1454181.8181818181,0.0
5324,1574425.111111111,0.0
