N,avg,std
256,130560.0,0.0
500,499000.0,0.0
864,497088.0,0.0
1372,627004.0,0.0
2048,931612.4444444445,0.0
2916,1062517.5,0.0
4000,1279680.0,0.0
5324,1416982.6,0.0
